Date,Day,Open,High,Low,Close,Change,Range,Type
2024-04-29,Monday,2338.05,2346.83,2319.84,2335.55,-2.5,26.99,bearish
2024-04-26,Friday,2332.49,2352.64,2326.36,2338.05,5.56,26.28,bullish
2024-04-25,Thursday,2315.95,2344.93,2305.03,2332.49,16.54,39.9,bullish
2024-04-24,Wednesday,2322.13,2337.39,2311.82,2315.95,-6.18,25.57,bearish
2024-04-23,Tuesday,2327.24,2334.51,2291.47,2322.13,-5.11,43.05,bearish
2024-04-22,Monday,2392.07,2392.07,2324.67,2327.24,-64.83,67.4,bearish
2024-04-19,Friday,2379.05,2417.92,2372.91,2392.07,13.02,45.01,bullish
2024-04-18,Thursday,2361.09,2392.86,2361.09,2379.05,17.96,31.77,bullish
2024-04-17,Wednesday,2383.13,2395.64,2354.73,2361.09,-22.04,40.91,bearish
2024-04-16,Tuesday,2383.51,2398.38,2363.06,2383.13,-0.38,35.32,bearish
2024-04-15,Monday,2344.24,2387.65,2324.26,2383.51,39.28,63.39,bullish
2024-04-12,Friday,2372.29,2431.59,2333.88,2344.24,-28.05,97.71,bearish
2024-04-11,Thursday,2333.86,2377.76,2325.74,2372.29,38.42,52.02,bullish
2024-04-10,Wednesday,2352.41,2360.15,2319.4,2333.86,-18.55,40.76,bearish
2024-04-09,Tuesday,2339.15,2365.4,2337.27,2352.41,13.26,28.13,bullish
2024-04-08,Monday,2330.16,2354.16,2302.98,2339.15,8.99,51.18,bullish
2024-04-05,Friday,2291.21,2330.53,2267.78,2330.16,38.95,62.74,bullish
2024-04-04,Thursday,2299.93,2305.65,2279.73,2291.21,-8.72,25.93,bearish
2024-04-03,Wednesday,2280.82,2301.27,2265.51,2299.93,19.11,35.76,bullish
2024-04-02,Tuesday,2251.67,2281.16,2246.72,2280.82,29.14,34.44,bullish
2024-04-01,Monday,2233.12,2265.78,2228.54,2251.67,18.55,37.24,bullish
2024-03-28,Thursday,2194.86,2236.33,2187.41,2233.12,38.26,48.92,bullish
